# BLASTN 2.9.0+
# Query: Alpha2
# Database: blast_db/testdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
Alpha2	Alpha1	95.238	84	0	1	1	84	1	80	9.72e-36	130
Alpha2	Alpha1	100.000	50	0	0	1	50	27	76	1.27e-24	93.5
Alpha2	Alpha1	92.857	56	0	1	27	82	1	52	3.57e-20	78.7
# BLASTN 2.9.0+
# Query: Beta2
# Database: blast_db/testdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 5 hits found
Beta2	Beta1	95.238	84	0	1	1	84	1	80	9.72e-36	130
Beta2	Beta1	100.000	48	0	0	1	48	26	73	1.65e-23	89.8
Beta2	Beta1	93.220	59	0	1	26	84	1	55	7.67e-22	84.2
Beta2	Beta1	100.000	30	0	0	55	84	1	30	1.67e-13	56.5
Beta2	Beta1	100.000	30	0	0	1	30	51	80	1.67e-13	56.5
# BLASTN 2.9.0+
# Query: Gamma2
# Database: blast_db/testdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
Gamma2	Gamma1	100.000	71	0	0	15	85	10	80	3.07e-36	132
Gamma2	Gamma1	100.000	58	0	0	36	93	1	58	5.18e-29	108
Gamma2	Gamma1	100.000	41	0	0	15	55	40	80	1.46e-19	76.8
Gamma2	Gamma1	100.000	28	0	0	66	93	1	28	2.46e-12	52.8
# BLAST processed 3 queries
